pair_id,src_ip,dst_ip,n_observations,dominant_period_s,acf_peak,acf_peak_lag,iat_cv,fft_period_s,fft_power_ratio,is_periodic,beacon_confidence,is_beacon_pair
192.168.1.23→52.225.14.219,192.168.1.23,52.225.14.219,14,331154.1,0.3995,5,0.6977,0.0,0.0,False,0.4,False
10.0.1.160→52.190.26.88,10.0.1.160,52.190.26.88,11,1138270.4,0.324,19,1.0966,0.0,0.0,False,0.4,False
10.0.1.7→52.118.29.124,10.0.1.7,52.118.29.124,10,679359.4,0.2997,15,0.9768,0.0,0.0,False,0.4,False
192.168.1.230→52.235.62.247,192.168.1.230,52.235.62.247,10,45831.1,0.3002,1,0.963,0.0,0.0,False,0.4,False
10.0.1.91→52.30.172.174,10.0.1.91,52.30.172.174,10,84790.3,0.4287,2,1.2984,0.0,0.0,False,0.4,False
10.0.2.163→52.167.244.25,10.0.2.163,52.167.244.25,10,51355.6,0.3074,2,1.6512,0.0,0.0,False,0.4,False
10.0.1.104→52.30.169.56,10.0.1.104,52.30.169.56,12,115625.6,0.3157,3,1.5419,0.0,0.0,False,0.4,False
10.0.2.180→52.200.13.94,10.0.2.180,52.200.13.94,12,318980.2,0.381,6,0.9025,0.0,0.0,False,0.4,False
10.0.2.44→52.166.83.171,10.0.2.44,52.166.83.171,12,329674.0,0.3848,4,0.7819,0.0,0.0,False,0.4,False
10.0.1.130→52.59.192.87,10.0.1.130,52.59.192.87,13,988193.5,0.3437,15,0.972,0.0,0.0,False,0.4,False
10.0.1.211→52.176.94.211,10.0.1.211,52.176.94.211,14,278237.1,0.451,4,0.7472,0.0,0.0,False,0.4,False
10.0.1.130→52.92.5.8,10.0.1.130,52.92.5.8,12,608133.5,0.3149,16,1.0717,0.0,0.0,False,0.4,False
10.0.2.8→52.143.143.211,10.0.2.8,52.143.143.211,10,1077487.6,0.381,18,1.2981,0.0,0.0,False,0.4,False
10.0.2.65→52.91.195.142,10.0.2.65,52.91.195.142,10,850143.5,0.4172,9,1.0126,0.0,0.0,False,0.4,False
10.0.1.161→52.195.208.14,10.0.1.161,52.195.208.14,14,180570.9,0.3464,4,1.0643,0.0,0.0,False,0.4,False
192.168.1.241→52.154.51.29,192.168.1.241,52.154.51.29,11,207059.3,0.4802,3,1.642,0.0,0.0,False,0.4,False
10.0.2.93→52.221.252.23,10.0.2.93,52.221.252.23,10,81657.8,0.3553,2,1.5057,0.0,0.0,False,0.4,False
10.0.2.103→52.75.67.202,10.0.2.103,52.75.67.202,10,35320.8,0.2554,1,1.2636,0.0,0.0,False,0.4,False
192.168.1.252→52.81.92.222,192.168.1.252,52.81.92.222,10,173557.5,0.3099,3,1.3875,0.0,0.0,False,0.4,False
10.0.1.225→52.82.73.198,10.0.1.225,52.82.73.198,14,63707.3,0.315,2,1.2099,0.0,0.0,False,0.4,False
192.168.1.28→52.147.198.242,192.168.1.28,52.147.198.242,10,616978.2,0.2636,20,1.4061,0.0,0.0,False,0.4,False
192.168.1.36→52.228.185.53,192.168.1.36,52.228.185.53,10,143658.7,0.315,5,1.998,0.0,0.0,False,0.4,False
10.0.1.212→52.34.104.238,10.0.1.212,52.34.104.238,12,87955.1,0.4322,2,1.213,0.0,0.0,False,0.4,False
192.168.1.39→52.174.33.8,192.168.1.39,52.174.33.8,11,609113.0,0.4761,7,0.6212,0.0,0.0,False,0.4,False
10.0.2.212→52.154.51.29,10.0.2.212,52.154.51.29,10,1012091.2,0.4257,10,0.8294,0.0,0.0,False,0.4,False
10.0.1.52→52.7.235.177,10.0.1.52,52.7.235.177,12,672704.6,0.2624,19,1.3011,0.0,0.0,False,0.4,False
10.0.1.61→52.101.146.63,10.0.1.61,52.101.146.63,12,101482.9,0.3852,2,1.4834,0.0,0.0,False,0.4,False
10.0.2.245→52.43.170.188,10.0.2.245,52.43.170.188,10,88419.6,0.3362,2,1.0074,0.0,0.0,False,0.4,False
192.168.1.43→52.146.84.103,192.168.1.43,52.146.84.103,10,924189.4,0.4069,9,0.7133,0.0,0.0,False,0.4,False
10.0.1.25→52.75.141.226,10.0.1.25,52.75.141.226,13,321763.7,0.3046,7,0.9316,0.0,0.0,False,0.4,False
10.0.1.67→52.124.197.123,10.0.1.67,52.124.197.123,13,30953.2,0.4155,1,1.1859,0.0,0.0,False,0.4,False
10.0.1.133→52.123.99.233,10.0.1.133,52.123.99.233,11,314363.2,0.2921,7,1.3977,0.0,0.0,False,0.4,False
192.168.1.75→52.235.58.175,192.168.1.75,52.235.58.175,12,84639.2,0.5045,2,1.2489,0.0,0.0,False,0.4,False
10.0.2.237→52.10.55.130,10.0.2.237,52.10.55.130,10,306576.1,0.456,8,1.5426,0.0,0.0,False,0.4,False
10.0.2.199→52.93.78.128,10.0.2.199,52.93.78.128,10,129559.5,0.3821,3,1.3945,0.0,0.0,False,0.4,False
10.0.1.149→52.3.1.64,10.0.1.149,52.3.1.64,13,340147.8,0.3816,5,1.1831,0.0,0.0,False,0.4,False
10.0.3.102→52.97.123.59,10.0.3.102,52.97.123.59,10,37932.5,0.3259,1,1.3784,0.0,0.0,False,0.4,False
192.168.1.82→52.107.81.230,192.168.1.82,52.107.81.230,10,568766.0,0.3736,8,1.026,0.0,0.0,False,0.4,False
10.0.3.106→52.167.244.25,10.0.3.106,52.167.244.25,13,608822.3,0.278,14,0.8444,0.0,0.0,False,0.4,False
10.0.3.13→52.93.117.242,10.0.3.13,52.93.117.242,12,86902.1,0.4059,2,1.2842,0.0,0.0,False,0.4,False
10.0.3.141→52.45.97.168,10.0.3.141,52.45.97.168,11,41053.0,0.3258,1,0.8832,0.0,0.0,False,0.4,False
10.0.3.155→52.96.85.229,10.0.3.155,52.96.85.229,10,124680.8,0.3971,2,1.3984,0.0,0.0,False,0.4,False
10.0.3.158→52.185.69.232,10.0.3.158,52.185.69.232,11,739738.1,0.3903,11,0.8112,0.0,0.0,False,0.4,False
10.0.3.160→52.107.17.86,10.0.3.160,52.107.17.86,10,708344.5,0.5146,7,0.6394,0.0,0.0,False,0.4,False
10.0.3.167→52.138.139.18,10.0.3.167,52.138.139.18,12,402581.5,0.4218,9,0.9386,0.0,0.0,False,0.4,False
10.0.3.176→52.21.247.25,10.0.3.176,52.21.247.25,10,251423.6,0.5104,5,0.8194,0.0,0.0,False,0.4,False
10.0.3.198→52.216.227.179,10.0.3.198,52.216.227.179,10,551078.7,0.3194,15,1.1954,0.0,0.0,False,0.4,False
10.0.3.20→52.171.189.219,10.0.3.20,52.171.189.219,12,104771.4,0.3444,2,0.8309,0.0,0.0,False,0.4,False
10.0.3.216→52.5.206.13,10.0.3.216,52.5.206.13,11,41137.8,0.2834,1,1.1512,0.0,0.0,False,0.4,False
10.0.3.220→52.186.186.152,10.0.3.220,52.186.186.152,10,119836.9,0.3476,2,1.5412,0.0,0.0,False,0.4,False
10.0.3.23→52.201.72.99,10.0.3.23,52.201.72.99,10,860843.7,0.406,20,1.274,0.0,0.0,False,0.4,False
10.0.3.241→52.49.47.194,10.0.3.241,52.49.47.194,10,95692.2,0.2686,3,1.3251,0.0,0.0,False,0.4,False
10.0.3.243→52.93.117.242,10.0.3.243,52.93.117.242,11,21471.4,0.3443,1,1.3776,0.0,0.0,False,0.4,False
10.0.3.34→52.219.23.155,10.0.3.34,52.219.23.155,10,144974.8,0.412,2,1.1665,0.0,0.0,False,0.4,False
10.0.3.41→52.154.209.186,10.0.3.41,52.154.209.186,13,840605.7,0.3133,17,1.0467,0.0,0.0,False,0.4,False
10.0.3.50→52.163.173.65,10.0.3.50,52.163.173.65,13,33830.3,0.3582,1,1.1531,0.0,0.0,False,0.4,False
10.0.3.54→52.229.178.142,10.0.3.54,52.229.178.142,11,15906.6,0.323,1,1.8458,0.0,0.0,False,0.4,False
10.0.3.58→52.32.158.89,10.0.3.58,52.32.158.89,11,265425.0,0.2512,9,1.3567,0.0,0.0,False,0.4,False
10.0.3.72→52.71.3.212,10.0.3.72,52.71.3.212,11,234336.8,0.3415,4,1.3976,0.0,0.0,False,0.4,False
10.0.3.91→52.57.181.115,10.0.3.91,52.57.181.115,11,393034.2,0.279,9,1.4235,0.0,0.0,False,0.4,False
10.0.3.98→52.67.46.173,10.0.3.98,52.67.46.173,11,709281.9,0.3333,12,1.2651,0.0,0.0,False,0.4,False
192.168.1.111→52.30.169.56,192.168.1.111,52.30.169.56,11,35126.2,0.2556,1,1.2286,0.0,0.0,False,0.4,False
192.168.1.22→52.221.252.23,192.168.1.22,52.221.252.23,10,38140.0,0.2977,1,1.3494,0.0,0.0,False,0.4,False
192.168.1.12→52.159.83.2,192.168.1.12,52.159.83.2,11,746058.3,0.4444,8,0.7018,0.0,0.0,False,0.4,False
192.168.1.125→52.92.5.8,192.168.1.125,52.92.5.8,11,35488.4,0.2984,1,1.0487,0.0,0.0,False,0.4,False
10.0.1.170→52.48.103.109,10.0.1.170,52.48.103.109,11,0.0,0.0,0,0.3268,0.0,0.0,False,0.1366,False
192.168.1.17→52.71.2.187,192.168.1.17,52.71.2.187,10,0.0,0.0,0,0.343,0.0,0.0,False,0.1285,False
192.168.1.164→52.124.197.123,192.168.1.164,52.124.197.123,10,0.0,0.0,0,0.3605,0.0,0.0,False,0.1197,False
10.0.3.125→52.117.191.81,10.0.3.125,52.117.191.81,11,0.0,0.0,0,0.3619,0.0,0.0,False,0.119,False
10.0.3.21→52.34.104.238,10.0.3.21,52.34.104.238,13,0.0,0.0,0,0.3633,0.0,0.0,False,0.1183,False
192.168.1.112→52.158.10.202,192.168.1.112,52.158.10.202,15,0.0,0.0,0,0.3857,0.0,0.0,False,0.1071,False
192.168.1.48→52.67.61.32,192.168.1.48,52.67.61.32,11,0.0,0.0,0,0.4368,0.0,0.0,False,0.0816,False
192.168.1.59→52.210.80.58,192.168.1.59,52.210.80.58,11,0.0,0.0,0,0.439,0.0,0.0,False,0.0805,False
192.168.1.54→52.233.3.152,192.168.1.54,52.233.3.152,10,0.0,0.0,0,0.4447,0.0,0.0,False,0.0777,False
10.0.3.145→52.96.212.92,10.0.3.145,52.96.212.92,11,0.0,0.0,0,0.4445,0.0,0.0,False,0.0777,False
10.0.3.80→52.241.123.10,10.0.3.80,52.241.123.10,11,0.0,0.0,0,0.461,0.0,0.0,False,0.0695,False
10.0.3.172→52.125.177.168,10.0.3.172,52.125.177.168,10,0.0,0.0,0,0.4671,0.0,0.0,False,0.0664,False
10.0.2.11→52.204.28.79,10.0.2.11,52.204.28.79,12,0.0,0.0,0,0.4694,0.0,0.0,False,0.0653,False
10.0.2.180→52.195.208.14,10.0.2.180,52.195.208.14,10,0.0,0.0,0,0.4696,0.0,0.0,False,0.0652,False
192.168.1.117→52.233.49.105,192.168.1.117,52.233.49.105,12,0.0,0.0,0,0.4723,0.0,0.0,False,0.0638,False
10.0.2.138→52.92.2.15,10.0.2.138,52.92.2.15,12,0.0,0.0,0,0.4767,0.0,0.0,False,0.0616,False
10.0.2.202→52.87.62.4,10.0.2.202,52.87.62.4,10,0.0,0.0,0,0.4796,0.0,0.0,False,0.0602,False
192.168.1.243→52.5.206.13,192.168.1.243,52.5.206.13,10,0.0,0.0,0,0.4821,0.0,0.0,False,0.059,False
10.0.3.228→52.5.206.13,10.0.3.228,52.5.206.13,14,0.0,0.0,0,0.4843,0.0,0.0,False,0.0578,False
10.0.3.54→52.157.153.194,10.0.3.54,52.157.153.194,10,0.0,0.0,0,0.4919,0.0,0.0,False,0.054,False
192.168.1.87→52.87.62.4,192.168.1.87,52.87.62.4,10,0.0,0.0,0,0.4931,0.0,0.0,False,0.0535,False
192.168.1.239→52.30.193.176,192.168.1.239,52.30.193.176,11,0.0,0.0,0,0.4937,0.0,0.0,False,0.0531,False
10.0.3.36→52.221.39.114,10.0.3.36,52.221.39.114,12,0.0,0.0,0,0.4943,0.0,0.0,False,0.0528,False
192.168.1.120→52.177.52.176,192.168.1.120,52.177.52.176,11,0.0,0.0,0,0.506,0.0,0.0,False,0.047,False
10.0.1.233→52.0.241.24,10.0.1.233,52.0.241.24,12,0.0,0.0,0,0.5117,0.0,0.0,False,0.0441,False
10.0.2.187→52.34.104.238,10.0.2.187,52.34.104.238,11,0.0,0.0,0,0.5125,0.0,0.0,False,0.0438,False
192.168.1.77→52.48.103.109,192.168.1.77,52.48.103.109,12,0.0,0.0,0,0.5155,0.0,0.0,False,0.0423,False
10.0.3.169→52.228.185.53,10.0.3.169,52.228.185.53,10,0.0,0.0,0,0.5178,0.0,0.0,False,0.0411,False
10.0.3.181→52.87.90.12,10.0.3.181,52.87.90.12,11,0.0,0.0,0,0.52,0.0,0.0,False,0.04,False
10.0.3.161→52.32.188.192,10.0.3.161,52.32.188.192,10,0.0,0.0,0,0.5254,0.0,0.0,False,0.0373,False
10.0.3.133→52.34.104.238,10.0.3.133,52.34.104.238,10,0.0,0.0,0,0.528,0.0,0.0,False,0.036,False
192.168.1.219→52.81.92.222,192.168.1.219,52.81.92.222,11,0.0,0.0,0,0.5331,0.0,0.0,False,0.0334,False
10.0.3.41→52.101.146.63,10.0.3.41,52.101.146.63,10,0.0,0.0,0,0.5344,0.0,0.0,False,0.0328,False
192.168.1.251→52.93.78.128,192.168.1.251,52.93.78.128,10,0.0,0.0,0,0.5358,0.0,0.0,False,0.0321,False
10.0.3.8→52.229.178.142,10.0.3.8,52.229.178.142,11,0.0,0.0,0,0.5419,0.0,0.0,False,0.029,False
10.0.1.187→52.190.26.88,10.0.1.187,52.190.26.88,10,0.0,0.0,0,0.5422,0.0,0.0,False,0.0289,False
10.0.2.20→52.140.174.236,10.0.2.20,52.140.174.236,11,0.0,0.0,0,0.5429,0.0,0.0,False,0.0285,False
10.0.2.239→52.117.49.45,10.0.2.239,52.117.49.45,12,0.0,0.0,0,0.5457,0.0,0.0,False,0.0272,False
10.0.3.105→52.43.33.26,10.0.3.105,52.43.33.26,11,0.0,0.0,0,0.5458,0.0,0.0,False,0.0271,False
10.0.3.223→52.233.49.105,10.0.3.223,52.233.49.105,12,0.0,0.0,0,0.5466,0.0,0.0,False,0.0267,False
10.0.1.82→52.73.224.227,10.0.1.82,52.73.224.227,12,0.0,0.0,0,0.5487,0.0,0.0,False,0.0257,False
10.0.2.185→52.94.90.56,10.0.2.185,52.94.90.56,10,0.0,0.0,0,0.5485,0.0,0.0,False,0.0257,False
10.0.2.249→52.185.82.221,10.0.2.249,52.185.82.221,10,0.0,0.0,0,0.5494,0.0,0.0,False,0.0253,False
10.0.3.113→52.143.146.240,10.0.3.113,52.143.146.240,11,0.0,0.0,0,0.5502,0.0,0.0,False,0.0249,False
10.0.1.148→52.128.244.174,10.0.1.148,52.128.244.174,10,0.0,0.0,0,0.5567,0.0,0.0,False,0.0217,False
10.0.3.155→52.81.60.195,10.0.3.155,52.81.60.195,11,0.0,0.0,0,0.5695,0.0,0.0,False,0.0152,False
192.168.1.179→52.192.87.108,192.168.1.179,52.192.87.108,12,0.0,0.0,0,0.5728,0.0,0.0,False,0.0136,False
192.168.1.250→52.80.175.120,192.168.1.250,52.80.175.120,10,0.0,0.0,0,0.5738,0.0,0.0,False,0.0131,False
10.0.1.125→52.26.80.173,10.0.1.125,52.26.80.173,12,0.0,0.0,0,0.5737,0.0,0.0,False,0.0131,False
192.168.1.217→52.33.200.192,192.168.1.217,52.33.200.192,12,0.0,0.0,0,0.5762,0.0,0.0,False,0.0119,False
10.0.1.69→52.124.197.123,10.0.1.69,52.124.197.123,12,0.0,0.0,0,0.5791,0.0,0.0,False,0.0105,False
192.168.1.221→52.163.173.65,192.168.1.221,52.163.173.65,12,0.0,0.0,0,0.5791,0.0,0.0,False,0.0105,False
10.0.3.42→52.81.60.195,10.0.3.42,52.81.60.195,10,0.0,0.0,0,0.5805,0.0,0.0,False,0.0097,False
192.168.1.113→52.154.51.29,192.168.1.113,52.154.51.29,10,0.0,0.0,0,0.5841,0.0,0.0,False,0.008,False
192.168.1.178→52.143.143.211,192.168.1.178,52.143.143.211,10,0.0,0.0,0,0.5885,0.0,0.0,False,0.0057,False
10.0.3.2→52.176.94.211,10.0.3.2,52.176.94.211,12,0.0,0.0,0,0.5919,0.0,0.0,False,0.004,False
10.0.2.173→52.125.177.168,10.0.2.173,52.125.177.168,10,0.0,0.0,0,0.5919,0.0,0.0,False,0.004,False
10.0.2.103→52.83.248.181,10.0.2.103,52.83.248.181,10,0.0,0.0,0,0.5952,0.0,0.0,False,0.0024,False
10.0.2.192→52.62.117.113,10.0.2.192,52.62.117.113,13,0.0,0.0,0,0.5971,0.0,0.0,False,0.0015,False
10.0.3.31→52.124.197.123,10.0.3.31,52.124.197.123,12,0.0,0.0,0,0.5975,0.0,0.0,False,0.0012,False
10.0.1.193→52.118.29.124,10.0.1.193,52.118.29.124,12,0.0,0.0,0,0.5981,0.0,0.0,False,0.0009,False
192.168.1.112→52.57.189.101,192.168.1.112,52.57.189.101,10,0.0,0.0,0,0.5983,0.0,0.0,False,0.0008,False
10.0.1.11→52.48.103.109,10.0.1.11,52.48.103.109,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.11→52.88.13.186,10.0.1.11,52.88.13.186,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.11→52.93.78.128,10.0.1.11,52.93.78.128,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.11→52.96.212.92,10.0.1.11,52.96.212.92,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.110→52.138.139.18,10.0.1.110,52.138.139.18,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.110→52.169.198.16,10.0.1.110,52.169.198.16,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.110→52.185.69.232,10.0.1.110,52.185.69.232,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.110→52.222.87.127,10.0.1.110,52.222.87.127,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.110→52.241.123.10,10.0.1.110,52.241.123.10,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.110→52.252.240.238,10.0.1.110,52.252.240.238,11,0.0,0.0,0,0.8355,0.0,0.0,False,0.0,False
10.0.1.110→52.26.80.173,10.0.1.110,52.26.80.173,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.110→52.30.193.176,10.0.1.110,52.30.193.176,11,0.0,0.0,0,1.0442,0.0,0.0,False,0.0,False
10.0.1.110→52.67.176.79,10.0.1.110,52.67.176.79,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.110→52.75.205.84,10.0.1.110,52.75.205.84,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.110→52.94.168.172,10.0.1.110,52.94.168.172,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.111→52.10.55.130,10.0.1.111,52.10.55.130,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.111→52.138.139.18,10.0.1.111,52.138.139.18,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.111→52.177.52.176,10.0.1.111,52.177.52.176,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.111→52.26.80.173,10.0.1.111,52.26.80.173,9,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.111→52.30.193.176,10.0.1.111,52.30.193.176,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.111→52.81.60.195,10.0.1.111,52.81.60.195,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.111→52.91.195.142,10.0.1.111,52.91.195.142,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.121.235.85,10.0.1.112,52.121.235.85,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.133.65.155,10.0.1.112,52.133.65.155,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.154.209.186,10.0.1.112,52.154.209.186,5,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.158.10.202,10.0.1.112,52.158.10.202,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.186.186.152,10.0.1.112,52.186.186.152,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.195.208.14,10.0.1.112,52.195.208.14,6,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.59.192.87,10.0.1.112,52.59.192.87,7,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.64.101.90,10.0.1.112,52.64.101.90,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.82.59.7,10.0.1.112,52.82.59.7,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.82.73.198,10.0.1.112,52.82.73.198,8,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.83.248.181,10.0.1.112,52.83.248.181,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.112→52.98.120.54,10.0.1.112,52.98.120.54,6,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.113→52.143.143.211,10.0.1.113,52.143.143.211,4,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.113→52.159.83.2,10.0.1.113,52.159.83.2,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
10.0.1.113→52.188.223.168,10.0.1.113,52.188.223.168,3,0.0,0.0,0,,0.0,0.0,False,0.0,False
