pair_id,src_ip,dst_ip,flow_count,beacon_confidence,duration_std,uncommon_port_hits,avg_total_bytes,off_hour_connections,priority_score
10.0.2.58→52.159.83.2,10.0.2.58,52.159.83.2,10,0.4,4.1408,5,174328.4,2,5
10.0.2.50→52.185.82.221,10.0.2.50,52.185.82.221,10,0.4,7.5565,3,35158.2,2,5
192.168.1.36→52.228.185.53,192.168.1.36,52.228.185.53,10,0.4,1.694,8,54973.5,1,5
10.0.2.44→52.166.83.171,10.0.2.44,52.166.83.171,12,0.4,8.1935,5,93396.67,5,5
192.168.1.154→52.94.10.111,192.168.1.154,52.94.10.111,12,0.4,16.226,8,57546.17,7,5
10.0.1.7→52.215.173.59,10.0.1.7,52.215.173.59,10,0.5025,4.4434,7,56114.1,2,5
10.0.1.130→52.59.192.87,10.0.1.130,52.59.192.87,13,0.4,29.8739,9,61003.46,6,5
10.0.2.245→52.43.170.188,10.0.2.245,52.43.170.188,10,0.4,6.7364,4,42343.3,1,5
192.168.1.210→52.172.189.147,192.168.1.210,52.172.189.147,10,0.4,9.7746,8,73150.0,6,5
192.168.1.211→52.46.218.32,192.168.1.211,52.46.218.32,13,0.4,0.5178,7,22264.23,3,5
10.0.2.231→52.13.106.232,10.0.2.231,52.13.106.232,11,0.4,1.3971,10,77830.27,1,5
192.168.1.28→52.147.198.242,192.168.1.28,52.147.198.242,10,0.4,9.93,7,91765.7,4,5
10.0.1.7→52.118.29.124,10.0.1.7,52.118.29.124,10,0.4,7.3162,7,28510.7,1,5
10.0.2.212→52.154.51.29,10.0.2.212,52.154.51.29,10,0.4,7.8663,7,36965.5,1,5
10.0.2.190→52.250.188.94,10.0.2.190,52.250.188.94,11,0.4,3.4126,9,46261.36,5,5
10.0.2.185→52.162.2.26,10.0.2.185,52.162.2.26,12,0.4,8.425,9,40496.33,7,5
10.0.2.180→52.200.13.94,10.0.2.180,52.200.13.94,12,0.4,5.9945,9,104591.75,1,5
10.0.2.18→52.140.245.52,10.0.2.18,52.140.245.52,12,0.4,4.0501,9,38237.42,9,5
192.168.1.230→52.235.62.247,192.168.1.230,52.235.62.247,10,0.4,2.0414,5,105420.4,5,5
10.0.2.163→52.167.244.25,10.0.2.163,52.167.244.25,10,0.4,1.5085,6,61042.9,2,5
192.168.1.241→52.154.51.29,192.168.1.241,52.154.51.29,11,0.4,4.2692,7,59918.27,5,5
192.168.1.121→52.1.72.72,192.168.1.121,52.1.72.72,5,0.0,0.3358,2,143057.4,3,4
10.0.1.130→52.92.5.8,10.0.1.130,52.92.5.8,12,0.4,8.175,9,23965.75,7,4
192.168.1.103→52.29.3.76,192.168.1.103,52.29.3.76,4,0.0,0.1491,3,78557.75,3,4
10.0.3.45→52.215.173.59,10.0.3.45,52.215.173.59,3,0.0,0.4183,3,104631.0,3,4
10.0.3.37→52.33.200.192,10.0.3.37,52.33.200.192,3,0.0,0.3464,1,76435.33,1,4
192.168.1.82→52.107.81.230,192.168.1.82,52.107.81.230,10,0.4,13.5499,6,13481.2,4,4
10.0.3.222→52.107.17.86,10.0.3.222,52.107.17.86,3,0.0,0.2919,3,217329.0,2,4
192.168.1.75→52.235.58.175,192.168.1.75,52.235.58.175,12,0.4,1.449,11,12089.58,4,4
192.168.1.133→52.240.150.150,192.168.1.133,52.240.150.150,3,0.0,0.1574,1,78995.33,2,4
10.0.1.143→52.241.123.10,10.0.1.143,52.241.123.10,4,0.0,0.3331,3,55045.25,2,4
192.168.1.17→52.71.2.187,192.168.1.17,52.71.2.187,10,0.1285,2.9455,8,55587.9,4,4
10.0.1.141→52.169.198.16,10.0.1.141,52.169.198.16,3,0.0,0.4579,1,83805.67,2,4
10.0.3.61→52.146.179.54,10.0.3.61,52.146.179.54,8,0.0,0.4454,5,33229.62,5,4
10.0.3.5→52.11.88.252,10.0.3.5,52.11.88.252,3,0.0,0.2765,2,172278.67,2,4
192.168.1.55→52.64.101.90,192.168.1.55,52.64.101.90,3,0.0,0.4042,3,76708.0,3,4
192.168.1.101→52.233.49.105,192.168.1.101,52.233.49.105,3,0.0,0.1871,3,153548.33,1,4
10.0.3.17→52.88.101.137,10.0.3.17,52.88.101.137,6,0.0,0.4198,3,213711.0,2,4
10.0.1.133→52.123.99.233,10.0.1.133,52.123.99.233,11,0.4,1.526,6,26650.09,5,4
10.0.1.133→52.230.214.105,10.0.1.133,52.230.214.105,6,0.0,0.4498,3,75912.5,1,4
10.0.3.14→52.94.10.111,10.0.3.14,52.94.10.111,3,0.0,0.1944,1,308043.67,1,4
192.168.1.61→52.227.82.31,192.168.1.61,52.227.82.31,3,0.0,0.4692,1,227106.33,1,4
10.0.1.19→52.180.116.96,10.0.1.19,52.180.116.96,3,0.0,0.3177,3,92123.67,1,4
192.168.1.56→52.190.26.88,192.168.1.56,52.190.26.88,3,0.0,0.3088,2,131250.67,1,4
10.0.3.211→52.172.189.147,10.0.3.211,52.172.189.147,4,0.0,0.2952,3,72110.5,2,4
10.0.1.18→52.229.178.142,10.0.1.18,52.229.178.142,5,0.0,0.3829,3,41500.4,1,4
192.168.1.164→52.57.86.157,192.168.1.164,52.57.86.157,10,0.4,15.7518,6,14039.1,5,4
192.168.1.164→52.88.101.137,192.168.1.164,52.88.101.137,12,0.4,0.6806,9,21994.58,3,4
10.0.1.234→52.75.141.226,10.0.1.234,52.75.141.226,3,0.0,0.2223,2,58647.33,3,4
10.0.1.170→52.48.103.109,10.0.1.170,52.48.103.109,11,0.1366,4.8423,9,68579.18,4,4
10.0.1.22→52.19.247.51,10.0.1.22,52.19.247.51,3,0.0,0.2952,2,108165.33,2,4
10.0.3.194→52.108.42.151,10.0.3.194,52.108.42.151,3,0.0,0.3296,2,84354.0,1,4
10.0.3.42→52.44.85.247,10.0.3.42,52.44.85.247,3,0.0,0.1016,2,262367.67,2,4
10.0.3.169→52.93.78.128,10.0.3.169,52.93.78.128,3,0.0,0.2001,2,215089.0,2,4
192.168.1.125→52.92.5.8,192.168.1.125,52.92.5.8,11,0.4,9.0723,5,11206.18,2,4
10.0.3.133→52.159.90.10,10.0.3.133,52.159.90.10,3,0.0,0.2353,2,78443.67,3,4
10.0.3.155→52.121.235.85,10.0.3.155,52.121.235.85,3,0.0,0.4159,1,119958.33,1,4
10.0.2.15→52.195.208.14,10.0.2.15,52.195.208.14,3,0.0,0.1252,3,96788.0,2,4
192.168.1.66→52.201.72.99,192.168.1.66,52.201.72.99,3,0.0,0.1709,3,116184.0,3,4
10.0.3.241→52.49.47.194,10.0.3.241,52.49.47.194,10,0.4,2.0638,7,21537.5,6,4
10.0.3.126→52.94.168.172,10.0.3.126,52.94.168.172,4,0.0,0.4539,3,161931.0,2,4
192.168.1.182→52.201.72.99,192.168.1.182,52.201.72.99,4,0.0,0.3648,1,80291.25,4,4
192.168.1.182→52.43.87.64,192.168.1.182,52.43.87.64,7,0.0,0.2929,6,144303.29,2,4
10.0.3.12→52.0.241.24,10.0.3.12,52.0.241.24,3,0.0,0.2287,1,100463.67,2,4
192.168.1.183→52.235.117.1,192.168.1.183,52.235.117.1,3,0.0,0.3553,2,116708.33,1,4
10.0.1.25→52.75.141.226,10.0.1.25,52.75.141.226,13,0.4,2.1278,8,28612.62,3,4
10.0.1.251→52.147.198.242,10.0.1.251,52.147.198.242,11,0.4,10.1155,5,16025.18,4,4
192.168.1.185→52.201.81.222,192.168.1.185,52.201.81.222,3,0.0,0.3115,1,117663.0,2,4
192.168.1.185→52.216.227.179,192.168.1.185,52.216.227.179,12,0.4,4.138,7,13454.75,3,4
10.0.3.110→52.73.224.227,10.0.3.110,52.73.224.227,3,0.0,0.0274,3,69482.67,1,4
10.0.1.221→52.166.83.171,10.0.1.221,52.166.83.171,3,0.0,0.3201,3,80695.33,1,4
10.0.3.54→52.229.178.142,10.0.3.54,52.229.178.142,11,0.4,5.8096,7,24918.36,2,4
10.0.3.111→52.83.248.181,10.0.3.111,52.83.248.181,3,0.0,0.2487,1,139163.67,2,4
10.0.3.106→52.92.5.8,10.0.3.106,52.92.5.8,3,0.0,0.0754,2,144100.33,3,4
10.0.1.114→52.31.1.167,10.0.1.114,52.31.1.167,3,0.0,0.1616,2,345885.33,1,4
10.0.3.174→52.74.84.106,10.0.3.174,52.74.84.106,4,0.0,0.2374,3,85140.0,3,4
10.0.1.30→52.36.7.21,10.0.1.30,52.36.7.21,3,0.0,0.0644,2,69566.33,2,4
10.0.1.203→52.67.61.32,10.0.1.203,52.67.61.32,10,0.4,2.941,6,25714.9,2,4
10.0.1.34→52.148.111.138,10.0.1.34,52.148.111.138,6,0.0,0.4021,4,58684.83,1,4
10.0.1.33→52.176.94.211,10.0.1.33,52.176.94.211,3,0.0,0.2667,2,69620.33,3,4
10.0.3.151→52.39.184.95,10.0.3.151,52.39.184.95,3,0.0,0.4495,3,135624.67,2,4
10.0.1.38→52.128.244.174,10.0.1.38,52.128.244.174,3,0.0,0.2405,2,68868.67,2,4
10.0.3.13→52.18.241.144,10.0.3.13,52.18.241.144,3,0.0,0.0512,1,107556.0,3,4
10.0.1.42→52.174.33.8,10.0.1.42,52.174.33.8,5,0.0,0.3569,2,211171.6,2,4
192.168.1.191→52.92.5.8,192.168.1.191,52.92.5.8,10,0.4,0.855,6,44464.9,1,4
10.0.1.45→52.163.173.65,10.0.1.45,52.163.173.65,3,0.0,0.2524,2,427363.33,1,4
10.0.1.211→52.176.94.211,10.0.1.211,52.176.94.211,14,0.4,3.0628,7,24527.93,2,4
10.0.3.41→52.154.209.186,10.0.3.41,52.154.209.186,13,0.4,5.2037,4,14235.46,2,4
10.0.2.84→52.139.72.252,10.0.2.84,52.139.72.252,3,0.0,0.1791,2,58241.33,3,4
10.0.3.218→52.96.212.92,10.0.3.218,52.96.212.92,3,0.0,0.4871,1,674359.67,1,4
192.168.1.158→52.156.105.203,192.168.1.158,52.156.105.203,12,0.4,21.2971,7,31995.92,3,4
10.0.1.225→52.82.73.198,10.0.1.225,52.82.73.198,14,0.4,8.9774,7,24123.21,6,4
10.0.2.73→52.160.85.188,10.0.2.73,52.160.85.188,9,0.0,0.2315,6,39720.22,2,4
10.0.1.51→52.46.218.32,10.0.1.51,52.46.218.32,3,0.0,0.3027,3,160047.67,3,4
192.168.1.136→52.216.227.179,192.168.1.136,52.216.227.179,3,0.0,0.2107,1,58128.33,2,4
10.0.2.69→52.146.84.103,10.0.2.69,52.146.84.103,12,0.4,5.7677,8,5748.0,4,4
192.168.1.148→52.224.115.122,192.168.1.148,52.224.115.122,3,0.0,0.4522,2,168032.33,1,4
10.0.2.59→52.59.192.87,10.0.2.59,52.59.192.87,4,0.0,0.4355,3,58550.5,3,4
10.0.2.63→52.180.116.96,10.0.2.63,52.180.116.96,4,0.0,0.3362,3,74266.75,2,4
10.0.3.20→52.171.189.219,10.0.3.20,52.171.189.219,12,0.4,6.0312,6,26740.92,4,4
10.0.2.55→52.80.175.120,10.0.2.55,52.80.175.120,3,0.0,0.3084,1,85424.67,3,4
10.0.1.137→52.35.45.71,10.0.1.137,52.35.45.71,3,0.0,0.2103,2,544910.67,1,4
10.0.1.61→52.101.146.63,10.0.1.61,52.101.146.63,12,0.4,2.1802,9,35412.5,6,4
192.168.1.97→52.235.62.247,192.168.1.97,52.235.62.247,3,0.0,0.292,2,304417.0,2,4
10.0.2.50→52.32.245.196,10.0.2.50,52.32.245.196,11,0.4,4.2739,6,47821.45,5,4
10.0.3.220→52.186.186.152,10.0.3.220,52.186.186.152,10,0.4,23.7123,9,25091.1,1,4
10.0.1.63→52.7.235.177,10.0.1.63,52.7.235.177,6,0.0,0.3056,4,94910.33,1,4
10.0.3.195→52.67.176.79,10.0.3.195,52.67.176.79,6,0.0,0.2411,5,123623.5,1,4
10.0.1.67→52.124.197.123,10.0.1.67,52.124.197.123,13,0.4,1.5035,9,21821.38,4,4
10.0.2.4→52.146.84.103,10.0.2.4,52.146.84.103,4,0.0,0.1268,1,505932.5,3,4
10.0.1.69→52.250.188.94,10.0.1.69,52.250.188.94,3,0.0,0.4905,1,282762.33,1,4
10.0.1.227→52.10.55.130,10.0.1.227,52.10.55.130,6,0.0,0.3105,5,132206.67,4,4
192.168.1.12→52.159.83.2,192.168.1.12,52.159.83.2,11,0.4,18.1218,5,23467.36,6,4
10.0.2.36→52.185.69.232,10.0.2.36,52.185.69.232,3,0.0,0.1119,3,86775.67,3,4
192.168.1.34→52.139.72.252,192.168.1.34,52.139.72.252,3,0.0,0.0865,2,669606.0,2,4
192.168.1.162→52.87.90.12,192.168.1.162,52.87.90.12,3,0.0,0.1756,2,111091.0,1,4
10.0.1.8→52.172.189.147,10.0.1.8,52.172.189.147,3,0.0,0.2526,1,65890.67,1,4
10.0.2.25→52.94.10.111,10.0.2.25,52.94.10.111,3,0.0,0.308,2,97060.67,1,4
10.0.2.249→52.185.82.221,10.0.2.249,52.185.82.221,10,0.0253,0.4613,5,84431.4,5,4
10.0.2.248→52.156.105.203,10.0.2.248,52.156.105.203,5,0.0,0.4324,3,45271.2,1,4
10.0.3.48→52.235.108.193,10.0.3.48,52.235.108.193,4,0.0,0.2252,2,42686.25,2,4
10.0.2.240→52.176.94.211,10.0.2.240,52.176.94.211,10,0.4,4.7136,7,26801.4,2,4
192.168.1.156→52.8.74.82,192.168.1.156,52.8.74.82,4,0.0,0.3849,3,41886.25,3,4
10.0.2.242→52.240.94.101,10.0.2.242,52.240.94.101,3,0.0,0.1591,1,245853.0,3,4
10.0.1.150→52.220.160.138,10.0.1.150,52.220.160.138,10,0.4,1.4577,7,22432.7,1,4
10.0.1.91→52.30.172.174,10.0.1.91,52.30.172.174,10,0.4,2.9108,8,18435.1,9,4
10.0.1.92→52.224.115.122,10.0.1.92,52.224.115.122,6,0.0,0.4433,3,36757.5,1,4
10.0.2.237→52.10.55.130,10.0.2.237,52.10.55.130,10,0.4,3.2388,6,3102.3,2,4
10.0.2.231→52.154.51.29,10.0.2.231,52.154.51.29,3,0.0,0.2376,2,77847.0,3,4
10.0.1.105→52.81.56.180,10.0.1.105,52.81.56.180,6,0.0,0.4512,3,87259.67,3,4
192.168.1.217→52.214.107.150,192.168.1.217,52.214.107.150,10,0.4,1.3985,7,46881.2,3,4
10.0.1.96→52.221.39.114,10.0.1.96,52.221.39.114,3,0.0,0.1732,2,150229.0,1,4
10.0.2.225→52.146.84.103,10.0.2.225,52.146.84.103,3,0.0,0.1566,3,207528.67,1,4
10.0.3.75→52.8.0.126,10.0.3.75,52.8.0.126,3,0.0,0.1292,2,269495.33,1,4
192.168.1.217→52.76.232.41,192.168.1.217,52.76.232.41,5,0.0,0.421,5,78357.8,2,4
10.0.1.177→52.32.245.196,10.0.1.177,52.32.245.196,3,0.0,0.1826,1,61535.67,3,4
10.0.2.219→52.174.33.8,10.0.2.219,52.174.33.8,3,0.0,0.4659,2,70463.0,2,4
10.0.2.219→52.29.3.76,10.0.2.219,52.29.3.76,5,0.0,0.4158,3,144989.6,3,4
10.0.3.39→52.136.236.42,10.0.3.39,52.136.236.42,3,0.0,0.4171,2,428578.67,3,4
10.0.2.104→52.71.3.212,10.0.2.104,52.71.3.212,3,0.0,0.3999,3,74432.33,3,4
10.0.1.149→52.3.1.64,10.0.1.149,52.3.1.64,13,0.4,3.0301,9,16201.54,2,4
192.168.1.22→52.221.252.23,192.168.1.22,52.221.252.23,10,0.4,5.3331,6,17482.4,5,4
192.168.1.252→52.81.92.222,192.168.1.252,52.81.92.222,10,0.4,5.9558,7,11905.4,2,4
10.0.2.201→52.208.131.213,10.0.2.201,52.208.131.213,3,0.0,0.4535,2,279798.67,2,4
192.168.1.223→52.94.168.172,192.168.1.223,52.94.168.172,3,0.0,0.4917,3,83021.67,3,4
10.0.2.199→52.93.78.128,10.0.2.199,52.93.78.128,10,0.4,3.6402,8,18539.7,5,4
10.0.2.121→52.82.59.7,10.0.2.121,52.82.59.7,3,0.0,0.1314,1,95830.0,1,4
10.0.3.198→52.8.0.126,10.0.3.198,52.8.0.126,5,0.0,0.3985,5,252879.6,5,4
10.0.2.184→52.220.160.138,10.0.2.184,52.220.160.138,3,0.0,0.2473,2,89965.0,3,4
10.0.1.13→52.177.52.176,10.0.1.13,52.177.52.176,11,0.4,7.5307,9,11510.82,2,4
10.0.2.128→52.36.7.21,10.0.2.128,52.36.7.21,6,0.0,0.4231,6,66585.83,3,4
192.168.1.140→52.139.72.252,192.168.1.140,52.139.72.252,3,0.0,0.4516,1,372895.33,2,4
192.168.1.23→52.225.14.219,192.168.1.23,52.225.14.219,14,0.4,4.165,10,22190.79,5,4
10.0.1.227→52.74.193.127,10.0.1.227,52.74.193.127,5,0.0,0.4359,4,182627.2,1,4
192.168.1.246→52.101.146.63,192.168.1.246,52.101.146.63,3,0.0,0.4881,2,103636.67,3,4
192.168.1.246→52.49.47.194,192.168.1.246,52.49.47.194,3,0.0,0.2866,2,75438.0,1,4
192.168.1.144→52.123.82.136,192.168.1.144,52.123.82.136,3,0.0,0.4338,2,54155.0,1,4
10.0.2.133→52.250.188.94,10.0.2.133,52.250.188.94,3,0.0,0.3449,2,110015.67,3,4
10.0.2.170→52.154.209.186,10.0.2.170,52.154.209.186,3,0.0,0.2467,2,134982.67,1,4
10.0.3.167→52.138.139.18,10.0.3.167,52.138.139.18,12,0.4,6.4764,4,27014.83,7,4
10.0.2.164→52.5.206.13,10.0.2.164,52.5.206.13,4,0.0,0.1929,2,126290.5,4,4
10.0.2.158→52.94.90.56,10.0.2.158,52.94.90.56,3,0.0,0.329,2,71050.67,1,4
10.0.1.178→52.67.46.173,10.0.1.178,52.67.46.173,3,0.0,0.3213,3,68841.0,1,4
10.0.2.154→52.46.218.32,10.0.2.154,52.46.218.32,4,0.0,0.4173,2,213414.5,3,4
10.0.1.104→52.30.169.56,10.0.1.104,52.30.169.56,12,0.4,3.9946,7,15220.67,7,4
192.168.1.112→52.125.177.168,192.168.1.112,52.125.177.168,4,0.0,0.2105,1,126699.25,3,4
10.0.1.115→52.154.51.29,10.0.1.115,52.154.51.29,3,0.0,0.3648,2,10981.67,1,3
10.0.1.115→52.186.186.152,10.0.1.115,52.186.186.152,3,0.0,0.4126,2,12529.0,1,3
10.0.3.92→52.77.82.17,10.0.3.92,52.77.82.17,11,0.0,2.4007,9,106499.45,4,3
10.0.3.94→52.32.188.192,10.0.3.94,52.32.188.192,8,0.0,5.9293,2,55217.38,1,3
10.0.3.94→52.88.101.137,10.0.3.94,52.88.101.137,12,0.0,5.0696,10,209670.17,5,3
10.0.3.95→52.133.65.155,10.0.3.95,52.133.65.155,4,0.0,0.6436,3,62573.75,3,3
10.0.3.95→52.19.247.51,10.0.3.95,52.19.247.51,3,0.0,3.0706,3,62614.0,1,3
10.0.3.95→52.196.32.13,10.0.3.95,52.196.32.13,12,0.0,3.3999,6,124864.75,6,3
10.0.1.116→52.236.48.89,10.0.1.116,52.236.48.89,4,0.0,2.2317,1,49856.75,1,3
10.0.1.116→52.57.86.157,10.0.1.116,52.57.86.157,6,0.0,9.0826,3,42581.0,2,3
10.0.1.117→52.10.55.130,10.0.1.117,52.10.55.130,5,0.0,2.7352,4,315015.6,2,3
10.0.1.117→52.139.72.252,10.0.1.117,52.139.72.252,6,0.0,15.7055,5,69982.5,1,3
10.0.1.117→52.171.189.219,10.0.1.117,52.171.189.219,7,0.0,3.4692,4,46558.14,1,3
10.0.1.117→52.224.115.122,10.0.1.117,52.224.115.122,9,0.0,1.6371,8,52943.78,4,3
10.0.3.91→52.96.85.229,10.0.3.91,52.96.85.229,6,0.0,8.8169,5,157870.67,3,3
192.168.1.119→52.75.205.84,192.168.1.119,52.75.205.84,6,0.0,12.8762,4,137095.0,1,3
192.168.1.119→52.80.175.120,192.168.1.119,52.80.175.120,8,0.0,21.752,5,45043.88,5,3
192.168.1.12→52.53.67.60,192.168.1.12,52.53.67.60,12,0.0,1.3339,11,97337.0,5,3
10.0.3.92→52.146.84.103,10.0.3.92,52.146.84.103,5,0.0,3.0233,3,414136.2,4,3
10.0.3.92→52.219.23.155,10.0.3.92,52.219.23.155,8,0.0,1.3716,6,78283.5,3,3
10.0.3.92→52.44.85.247,10.0.3.92,52.44.85.247,3,0.0,0.1856,2,14896.0,2,3
10.0.3.92→52.64.251.121,10.0.3.92,52.64.251.121,3,0.0,0.4818,2,7724.33,1,3
10.0.3.92→52.73.224.227,10.0.3.92,52.73.224.227,9,0.0,1.4075,4,35871.11,2,3
192.168.1.12→52.8.0.126,192.168.1.12,52.8.0.126,3,0.0,4.3989,2,346434.33,1,3
10.0.1.114→52.101.146.63,10.0.1.114,52.101.146.63,3,0.0,0.2213,2,9572.67,3,3
10.0.1.120→52.38.211.174,10.0.1.120,52.38.211.174,10,0.0,3.1487,8,43304.3,2,3
10.0.1.118→52.235.62.247,10.0.1.118,52.235.62.247,3,0.0,2.0833,2,123313.33,2,3
10.0.1.118→52.88.13.186,10.0.1.118,52.88.13.186,12,0.0,2.9047,9,129634.25,7,3
10.0.1.119→52.159.90.10,10.0.1.119,52.159.90.10,3,0.0,0.0579,3,51683.33,2,3
10.0.1.12→52.107.81.230,10.0.1.12,52.107.81.230,9,0.0,26.6753,6,66230.78,2,3
10.0.1.12→52.140.174.236,10.0.1.12,52.140.174.236,14,0.0,16.7932,10,37107.36,8,3
192.168.1.120→52.177.52.176,192.168.1.120,52.177.52.176,11,0.047,6.6682,6,242937.64,4,3
10.0.3.92→52.98.120.54,10.0.3.92,52.98.120.54,3,0.0,5.0987,2,216662.33,1,3
10.0.3.93→52.219.227.101,10.0.3.93,52.219.227.101,9,0.0,15.1461,7,126977.22,3,3
10.0.3.90→52.34.104.238,10.0.3.90,52.34.104.238,7,0.0,1.5531,3,44232.86,2,3
10.0.3.91→52.26.80.173,10.0.3.91,52.26.80.173,3,0.0,2.0516,3,130788.33,2,3
10.0.3.91→52.94.10.111,10.0.3.91,52.94.10.111,12,0.0,2.8755,9,33241.17,6,3
10.0.1.116→52.224.115.122,10.0.1.116,52.224.115.122,10,0.0,6.5914,9,246013.9,1,3
10.0.3.87→52.235.58.175,10.0.3.87,52.235.58.175,3,0.0,0.3256,3,29691.0,3,3
10.0.1.122→52.7.235.177,10.0.1.122,52.7.235.177,3,0.0,3.3511,2,90856.0,2,3
