sax_word,sax_symbol_cv,sax_acf_peak,sax_motif_fraction,sax_passes,n_observations,pair_id,src_ip,dst_ip,sax_prescreen_pass
bbacccbbbacd,0.6374,0.3654,0.6667,True,14,10.0.1.186→52.154.51.29,10.0.1.186,52.154.51.29,True
bcbbbbddbcbb,0.5092,0.6429,0.6667,True,14,10.0.2.212→52.83.248.181,10.0.2.212,52.83.248.181,True
baadcccabbdd,0.7454,0.6,0.5,True,14,10.0.3.228→52.5.206.13,10.0.3.228,52.5.206.13,True
bbbbdabcccad,0.6733,0.9237,0.5,True,14,10.0.1.189→52.57.86.157,10.0.1.189,52.57.86.157,True
dbbddabbbbda,0.7454,0.5429,0.5,True,14,10.0.1.12→52.140.174.236,10.0.1.12,52.140.174.236,True
bdccbbacbcda,0.6383,0.5455,0.5,True,14,192.168.1.23→52.225.14.219,192.168.1.23,52.225.14.219,True
dabbccbdccaa,0.7323,0.7806,0.5,True,14,10.0.2.45→52.94.10.111,10.0.2.45,52.94.10.111,True
abbbcdcbaadc,0.7706,0.5614,0.5,True,14,192.168.1.8→52.28.159.175,192.168.1.8,52.28.159.175,True
ddbaaaccaacd,0.9354,0.4762,0.5,True,14,192.168.1.110→52.201.72.99,192.168.1.110,52.201.72.99,True
abcaddbbbcbb,0.7071,0.325,0.5,True,14,10.0.2.159→52.45.97.168,10.0.2.159,52.45.97.168,True
dcbaaaabbdcc,0.8718,0.8947,0.5,True,14,192.168.1.224→52.146.84.103,192.168.1.224,52.146.84.103,True
ddcabbbbabbb,0.7394,0.4989,0.5,True,14,10.0.1.253→52.32.245.196,10.0.1.253,52.32.245.196,True
bbbbcbddbbbb,0.5359,0.6024,0.6667,True,14,10.0.1.120→52.167.244.25,10.0.1.120,52.167.244.25,True
cabbbddbbcbb,0.6085,0.4873,0.5,True,14,192.168.1.209→52.88.13.186,192.168.1.209,52.88.13.186,True
dbcbbbbaacda,0.8083,0.2245,0.5,False,14,10.0.1.153→52.235.58.175,10.0.1.153,52.235.58.175,False
cbcddaaccabc,0.6939,0.6923,0.5,True,14,192.168.1.191→52.224.115.122,192.168.1.191,52.224.115.122,True
bcbbbbbbbbdd,0.5359,0.4064,0.5,True,14,10.0.1.133→52.38.211.174,10.0.1.133,52.38.211.174,True
dcbccbbbabbb,0.559,0.4667,0.5,True,14,192.168.1.251→52.192.87.108,192.168.1.251,52.192.87.108,True
abdbcbaabbdd,0.8292,0.7273,0.5,True,14,192.168.1.176→52.73.224.227,192.168.1.176,52.73.224.227,True
dbbdabbbcbba,0.7394,0.439,0.5,True,14,10.0.3.246→52.0.254.206,10.0.3.246,52.0.254.206,True
aaabccddcbba,0.8718,0.9699,0.5,True,14,10.0.3.50→52.108.42.151,10.0.3.50,52.108.42.151,True
acdcbbbbbbad,0.7071,0.25,0.5,False,14,10.0.3.51→52.57.181.115,10.0.3.51,52.57.181.115,False
abddbbcbbad,0.7395,0.45,0.4545,True,13,10.0.2.107→52.123.99.233,10.0.2.107,52.123.99.233,True
adbaaddcaad,1.0022,0.5944,0.5455,True,13,10.0.1.209→52.117.191.81,10.0.1.209,52.117.191.81,True
bdcdcabbcab,0.6789,0.196,0.4545,False,13,192.168.1.44→52.8.0.126,192.168.1.44,52.8.0.126,False
babcbbdcbbd,0.6124,0.6372,0.4545,True,13,10.0.3.171→52.93.117.242,10.0.3.171,52.93.117.242,True
adcbcbaadbc,0.7832,0.535,0.4545,True,13,10.0.3.121→52.125.99.159,10.0.3.121,52.125.99.159,True
abdbabbcccb,0.6776,0.5926,0.4545,True,13,10.0.2.29→52.227.82.31,10.0.2.29,52.227.82.31,True
aabddcbdbab,0.8433,0.5073,0.4545,True,13,10.0.1.160→52.146.84.103,10.0.1.160,52.146.84.103,True
bbcdcbbbbca,0.5657,0.3125,0.5455,True,13,10.0.1.195→52.10.55.130,10.0.1.195,52.10.55.130,True
ddbaabbbbda,0.8921,0.3566,0.4545,True,13,192.168.1.42→52.208.131.213,192.168.1.42,52.208.131.213,True
abbbcdcdbaa,0.8268,0.8905,0.4545,True,13,10.0.3.59→52.164.235.44,10.0.3.59,52.164.235.44,True
abbddcbccbb,0.5764,0.4987,0.4545,True,13,10.0.1.76→52.221.39.114,10.0.1.76,52.221.39.114,True
bbbcbbdccba,0.5657,0.5417,0.4545,True,13,10.0.3.241→52.95.236.200,10.0.3.241,52.95.236.200,True
dcabbcbcbdb,0.5764,0.4701,0.4545,True,13,10.0.2.169→52.214.107.150,10.0.2.169,52.214.107.150,True
ccabddcaaad,0.8478,0.7758,0.4545,True,13,10.0.2.241→52.156.105.203,10.0.2.241,52.156.105.203,True
bacaaddddba,0.897,0.6872,0.4545,True,13,10.0.3.61→52.68.177.170,10.0.3.61,52.68.177.170,True
acddbbabcbb,0.718,0.6207,0.4545,True,13,10.0.2.192→52.62.117.113,10.0.2.192,52.62.117.113,True
abddccbcbcb,0.5386,0.5465,0.4545,True,13,10.0.1.89→52.82.73.198,10.0.1.89,52.82.73.198,True
aaabbcddbbd,0.8433,0.5125,0.4545,True,13,10.0.1.158→52.0.254.206,10.0.1.158,52.0.254.206,True
ddcaaabbabd,0.953,0.4893,0.4545,True,13,10.0.1.67→52.124.197.123,10.0.1.67,52.124.197.123,True
abdbccbbcbb,0.5657,0.5671,0.4545,True,13,10.0.3.220→52.67.61.32,10.0.3.220,52.67.61.32,True
bbddcbccaba,0.6789,0.3144,0.4545,True,13,10.0.3.234→52.96.85.229,10.0.3.234,52.96.85.229,True
aabcaabcbdd,0.9421,0.4011,0.7273,True,13,10.0.3.106→52.167.244.25,10.0.3.106,52.167.244.25,True
cdcaccbabad,0.7395,0.1794,0.4545,False,13,10.0.3.176→52.215.173.59,10.0.3.176,52.215.173.59,False
cacdbacbdbb,0.6789,0.42,0.4545,True,13,10.0.3.227→52.67.61.32,10.0.3.227,52.67.61.32,True
cdbddbadbaa,0.7979,0.6014,0.4545,True,13,192.168.1.33→52.81.92.222,192.168.1.33,52.81.92.222,True
dddbbbbbbca,0.639,0.4076,0.4545,True,13,10.0.2.139→52.182.151.72,10.0.2.139,52.182.151.72,True
cabcbcadbda,0.7832,0.6652,0.4545,True,13,10.0.2.247→52.19.247.51,10.0.2.247,52.19.247.51,True
bdbabcdccab,0.6789,0.6388,0.4545,True,13,10.0.1.132→52.167.244.25,10.0.1.132,52.167.244.25,True
cabbbbbbddc,0.6124,0.4323,0.4545,True,13,10.0.1.149→52.3.1.64,10.0.1.149,52.3.1.64,True
babdcaacbcd,0.7832,0.5837,0.4545,True,13,192.168.1.253→52.21.223.241,192.168.1.253,52.21.223.241,True
bdbaabcbbbd,0.7559,0.3984,0.4545,True,13,10.0.1.130→52.59.192.87,10.0.1.130,52.59.192.87,True
bcaadccbbdb,0.6789,0.6003,0.4545,True,13,192.168.1.209→52.96.212.92,192.168.1.209,52.96.212.92,True
addcddbabaa,0.897,0.9733,0.4545,True,13,192.168.1.107→52.91.195.142,192.168.1.107,52.91.195.142,True
ddbdbdcabab,0.7027,0.3813,0.4545,True,13,10.0.2.187→52.39.184.95,10.0.2.187,52.39.184.95,True
bdcbaddbadb,0.7027,0.8071,0.4545,True,13,10.0.2.8→52.57.189.101,10.0.2.8,52.57.189.101,True
bcdbaaccaad,0.8921,0.7258,0.4545,True,13,10.0.3.145→52.81.60.195,10.0.3.145,52.81.60.195,True
bdccdcaaabb,0.7832,0.7343,0.4545,True,13,10.0.1.230→52.71.2.187,10.0.1.230,52.71.2.187,True
caadbaccbbd,0.7832,0.7742,0.4545,True,13,10.0.1.227→52.92.5.8,10.0.1.227,52.92.5.8,True
bccbaadcadd,0.7487,0.5926,0.4545,True,13,192.168.1.251→52.96.85.229,192.168.1.251,52.96.85.229,True
aacdcbdcabb,0.7832,0.535,0.4545,True,13,10.0.3.247→52.68.177.170,10.0.3.247,52.68.177.170,True
dbbcbbcbacb,0.5657,0.6042,0.4545,True,13,10.0.1.12→52.227.96.208,10.0.1.12,52.227.96.208,True
bdbbdcbbaab,0.7559,0.4762,0.4545,True,13,10.0.1.179→52.235.58.175,10.0.1.179,52.235.58.175,True
aadbccccbda,0.7395,0.2929,0.4545,False,13,192.168.1.63→52.253.119.40,192.168.1.63,52.253.119.40,False
bbbcbddbbbc,0.506,0.3311,0.7273,True,13,192.168.1.62→52.29.3.76,192.168.1.62,52.29.3.76,True
cdbbddabbac,0.696,0.4063,0.4545,True,13,10.0.3.41→52.154.209.186,10.0.3.41,52.154.209.186,True
cdcbccccaaa,0.6789,0.5661,0.4545,True,13,10.0.2.162→52.196.32.13,10.0.2.162,52.196.32.13,True
dcbcbbdcbab,0.5764,0.3889,0.5455,True,13,10.0.1.74→52.210.193.207,10.0.1.74,52.210.193.207,True
cdbbbccbbaa,0.6776,0.4178,0.4545,True,13,10.0.1.92→52.18.241.144,10.0.1.92,52.18.241.144,True
bddbbbababc,0.7559,0.4668,0.4545,True,13,10.0.3.144→52.171.189.219,10.0.3.144,52.171.189.219,True
aabbbddbcbd,0.7395,0.2798,0.4545,False,13,10.0.3.237→52.71.3.212,10.0.3.237,52.71.3.212,False
bbbbaabddad,0.8921,0.1421,0.4545,False,13,10.0.2.207→52.235.108.193,10.0.2.207,52.235.108.193,False
accdabcbbdc,0.639,0.4251,0.4545,True,13,10.0.2.22→52.176.94.211,10.0.2.22,52.176.94.211,True
dcabddaabbb,0.8433,0.725,0.4545,True,13,10.0.1.179→52.44.85.247,10.0.1.179,52.44.85.247,True
aaccbdbdbbd,0.696,0.2816,0.4545,False,13,192.168.1.189→52.185.69.232,192.168.1.189,52.185.69.232,False
dbbdabbcbba,0.7559,0.283,0.4545,False,13,10.0.1.145→52.129.71.22,10.0.1.145,52.129.71.22,False
aabcbbdbcdb,0.718,0.458,0.4545,True,13,10.0.3.21→52.34.104.238,10.0.3.21,52.34.104.238,True
dbdbaacdbab,0.8433,0.5445,0.5455,True,13,10.0.2.72→52.158.75.62,10.0.2.72,52.158.75.62,True
bbcbccbbbad,0.5657,0.5417,0.4545,True,13,192.168.1.204→52.81.56.180,192.168.1.204,52.81.56.180,True
cbbbaaaddbd,0.8433,0.4795,0.4545,True,13,10.0.3.50→52.163.173.65,10.0.3.50,52.163.173.65,True
cdbcabddbaa,0.7955,0.6944,0.4545,True,13,10.0.1.77→52.94.90.56,10.0.1.77,52.94.90.56,True
bbaccdddaab,0.7955,0.7397,0.4545,True,13,10.0.2.109→52.30.193.176,10.0.2.109,52.30.193.176,True
ddabcdbacba,0.7955,0.6077,0.4545,True,13,192.168.1.211→52.46.218.32,192.168.1.211,52.46.218.32,True
abcbccaabcd,0.7559,0.551,0.5455,True,13,192.168.1.20→52.123.99.233,192.168.1.20,52.123.99.233,True
aaddcbadcdb,0.7495,0.7729,0.4545,True,13,192.168.1.164→52.46.218.32,192.168.1.164,52.46.218.32,True
bdbbccbbbcb,0.4507,0.4203,0.4545,True,13,10.0.3.192→52.146.179.54,10.0.3.192,52.146.179.54,True
babccddbbbb,0.6124,0.9182,0.4545,True,13,10.0.3.33→52.117.191.81,10.0.3.33,52.117.191.81,True
bbbcdbdcbbc,0.4714,0.5671,0.4545,True,13,10.0.2.53→52.71.2.187,10.0.2.53,52.71.2.187,True
aabddbabbcd,0.8433,0.8023,0.4545,True,13,10.0.1.104→52.39.184.95,10.0.1.104,52.39.184.95,True
dcdcbaaabba,0.9421,0.628,0.4545,True,13,10.0.1.230→52.227.96.208,10.0.1.230,52.227.96.208,True
dbbbbbcdbca,0.6124,0.4701,0.4545,True,13,10.0.1.25→52.75.141.226,10.0.1.25,52.75.141.226,True
ccdaaccbdba,0.7395,0.5024,0.4545,True,13,10.0.1.22→52.233.49.105,10.0.1.22,52.233.49.105,True
bbbbbacddbb,0.6464,0.5027,0.5455,True,13,10.0.1.43→52.239.190.50,10.0.1.43,52.239.190.50,True
bbbcabcbacd,0.6776,0.6198,0.4545,True,13,10.0.2.131→52.15.127.110,10.0.2.131,52.15.127.110,True
dbacdcbabac,0.7832,0.3889,0.4545,True,13,10.0.1.2→52.18.241.144,10.0.1.2,52.18.241.144,True
bbbccdcbba,0.5714,1.0,0.5,True,12,192.168.1.12→52.53.67.60,192.168.1.12,52.53.67.60,True
bbabddbbcb,0.6547,0.5238,0.5,True,12,10.0.2.138→52.92.2.15,10.0.2.138,52.92.2.15,True
bccbcbabbd,0.5714,0.5312,0.5,True,12,10.0.2.175→52.34.104.238,10.0.2.175,52.34.104.238,True
ddbaccbabb,0.7284,0.5705,0.5,True,12,10.0.3.119→52.162.2.26,10.0.3.119,52.162.2.26,True
abbdbcdbbc,0.6146,0.5294,0.5,True,12,10.0.3.2→52.176.94.211,10.0.3.2,52.176.94.211,True
abcdbccbca,0.6547,0.2063,0.5,False,12,10.0.1.62→52.192.221.104,10.0.1.62,52.192.221.104,False
bdcdabbbbb,0.6547,0.4898,0.5,True,12,10.0.2.6→52.146.84.103,10.0.2.6,52.146.84.103,True
cbabcdbadc,0.6831,0.7143,0.5,True,12,10.0.2.124→52.48.103.109,10.0.2.124,52.48.103.109,True
accbbccbda,0.6547,0.4709,0.5,True,12,10.0.3.223→52.233.49.105,10.0.3.223,52.233.49.105,True
bbbbbbbcbd,0.4925,0.4634,0.6,True,12,10.0.2.241→52.163.245.96,10.0.2.241,52.163.245.96,True
ddbbbaadbc,0.7454,0.84,0.5,True,12,10.0.1.203→52.186.186.152,10.0.1.203,52.186.186.152,True
dbabcacbdb,0.7284,0.5385,0.5,True,12,10.0.2.241→52.159.90.10,10.0.2.241,52.159.90.10,True
bcdbacbadb,0.7284,0.5385,0.5,True,12,10.0.2.57→52.143.143.211,10.0.2.57,52.143.143.211,True
dcccbadcab,0.6374,0.4952,0.5,True,12,192.168.1.117→52.233.49.105,192.168.1.117,52.233.49.105,True
bbcbcbadca,0.6923,0.6296,0.5,True,12,10.0.2.10→52.45.97.168,10.0.2.10,52.45.97.168,True
cbbdcbaadb,0.7284,0.6154,0.5,True,12,10.0.2.68→52.163.245.96,10.0.2.68,52.163.245.96,True
abcdbdcbab,0.7284,0.9231,0.5,True,12,10.0.2.27→52.48.103.109,10.0.2.27,52.48.103.109,True
cacdbbbcba,0.6923,0.5216,0.5,True,12,10.0.3.186→52.53.67.60,10.0.3.186,52.53.67.60,True
dbdcdbacba,0.696,0.2903,0.5,False,12,10.0.1.121→52.139.72.252,10.0.1.121,52.139.72.252,False
abcbbdcbdb,0.6146,0.7647,0.5,True,12,10.0.2.173→52.11.88.252,10.0.2.173,52.11.88.252,True
aacddcbacb,0.7954,0.7465,0.5,True,12,10.0.2.127→52.93.117.242,10.0.2.127,52.93.117.242,True
cadbcadccb,0.6374,0.891,0.6,True,12,192.168.1.145→52.235.58.175,192.168.1.145,52.235.58.175,True
bdbabacdcb,0.7284,0.6795,0.5,True,12,10.0.3.20→52.171.189.219,10.0.3.20,52.171.189.219,True
bbbccbbbbd,0.4738,0.5455,0.6,True,12,10.0.3.67→52.0.241.24,10.0.3.67,52.0.241.24,True
ccabcacdca,0.7284,0.7308,0.5,True,12,10.0.3.189→52.176.238.203,10.0.3.189,52.176.238.203,True
dabcbbdbac,0.7284,0.7308,0.5,True,12,10.0.2.55→52.30.193.176,10.0.2.55,52.30.193.176,True
abdbbbbdbd,0.6831,0.5238,0.5,True,12,10.0.1.185→52.71.3.212,10.0.1.185,52.71.3.212,True
dbbabbccbb,0.6008,0.7658,0.5,True,12,10.0.2.185→52.162.2.26,10.0.2.185,52.162.2.26,True
bbbbbbbbbd,0.5,0.1111,0.9,True,12,10.0.1.61→52.101.146.63,10.0.1.61,52.101.146.63,True
dabbbbbbdb,0.6923,0.3278,0.5,True,12,10.0.3.13→52.93.117.242,10.0.3.13,52.93.117.242,True
cdaabcdbca,0.7954,0.7235,0.5,True,12,10.0.2.239→52.192.87.108,10.0.2.239,52.192.87.108,True
bbbdcbacbd,0.6146,0.7983,0.5,True,12,10.0.2.239→52.117.49.45,10.0.2.239,52.117.49.45,True
cbaabdcdba,0.8462,0.8209,0.5,True,12,10.0.3.118→52.15.127.110,10.0.3.118,52.15.127.110,True
bbcdbccbba,0.5714,0.2708,0.5,True,12,10.0.1.198→52.216.227.179,10.0.1.198,52.216.227.179,True
acbbccbadb,0.6923,0.4513,0.5,True,12,10.0.3.57→52.71.2.187,10.0.3.57,52.71.2.187,True
dbabbccabc,0.6923,0.6451,0.5,True,12,192.168.1.143→52.180.116.96,192.168.1.143,52.180.116.96,True
cdbbbbcbbb,0.4738,0.5455,0.5,True,12,10.0.3.200→52.33.200.192,10.0.3.200,52.33.200.192,True
bbbcbbbdcc,0.4472,0.3968,0.6,True,12,10.0.1.103→52.156.105.203,10.0.1.103,52.156.105.203,True
babbbbddbc,0.6547,0.6667,0.5,True,12,10.0.2.107→52.201.81.222,10.0.2.107,52.201.81.222,True
bdbbbdcbbc,0.5,0.875,0.5,True,12,10.0.3.190→52.75.205.84,10.0.3.190,52.75.205.84,True
dbbbbbabdb,0.6923,0.2901,0.5,False,12,10.0.1.71→52.5.206.13,10.0.1.71,52.5.206.13,False
adaabbccbd,0.8462,0.3251,0.5,True,12,10.0.3.172→52.185.82.221,10.0.3.172,52.185.82.221,True
bacdccbcbb,0.5375,0.3846,0.5,True,12,10.0.3.109→52.74.193.127,10.0.3.109,52.74.193.127,True
dbccbbcbaa,0.6923,0.358,0.5,True,12,10.0.3.52→52.28.159.175,10.0.3.52,52.28.159.175,True
bbbbbccdcb,0.4472,0.5556,0.5,True,12,10.0.1.104→52.30.169.56,10.0.1.104,52.30.169.56,True
dbabcbadda,0.8571,0.7569,0.5,True,12,10.0.2.9→52.163.245.96,10.0.2.9,52.163.245.96,True
acdbbcdbbb,0.6146,0.7353,0.5,True,12,10.0.2.140→52.33.200.192,10.0.2.140,52.33.200.192,True
ddaccaabbc,0.7954,0.6129,0.5,True,12,10.0.2.11→52.204.28.79,10.0.2.11,52.204.28.79,True
bbcdcbbbbb,0.4738,0.5657,0.6,True,12,192.168.1.9→52.138.139.18,192.168.1.9,52.138.139.18,True
bbabacdcbc,0.6923,0.6049,0.5,True,12,10.0.1.212→52.34.104.238,10.0.1.212,52.34.104.238,True
bbdbbccbbb,0.4738,0.5455,0.6,True,12,10.0.3.194→52.30.193.176,10.0.3.194,52.30.193.176,True
cdbbdbbabb,0.6547,0.1905,0.5,False,12,192.168.1.14→52.93.117.242,192.168.1.14,52.93.117.242,False
abbcbccbdb,0.5714,0.2891,0.5,True,12,10.0.3.5→52.240.94.101,10.0.3.5,52.240.94.101,True
adbdbaacdb,0.8571,0.6429,0.5,True,12,10.0.3.194→52.57.189.101,10.0.3.194,52.57.189.101,True
bbcbbbacdb,0.6008,0.5082,0.5,True,12,10.0.2.90→52.71.2.187,10.0.2.90,52.71.2.187,True
cddcacbaab,0.7954,0.5054,0.5,True,12,10.0.1.172→52.129.71.22,10.0.1.172,52.129.71.22,True
bbacdcbcbb,0.5714,0.5625,0.5,True,12,10.0.3.173→52.139.72.252,10.0.3.173,52.139.72.252,True
ddcabcbaac,0.7954,0.3978,0.5,True,12,10.0.1.22→52.64.251.121,10.0.1.22,52.64.251.121,True
aaabcbdcdc,0.7954,0.5591,0.5,True,12,10.0.2.137→52.3.1.64,10.0.2.137,52.3.1.64,True
abcbbccabd,0.6923,0.7377,0.5,True,12,192.168.1.231→52.94.168.172,192.168.1.231,52.94.168.172,True
dbabdbabcd,0.7454,0.75,0.8,True,12,192.168.1.77→52.48.103.109,192.168.1.77,52.48.103.109,True
abdabcdcad,0.8028,0.431,0.5,True,12,10.0.1.173→52.148.111.138,10.0.1.173,52.148.111.138,True
dbbbabbdcb,0.6547,0.6429,0.5,True,12,10.0.1.125→52.192.221.104,10.0.1.125,52.192.221.104,True
cacdcbbdbb,0.5728,0.6429,0.5,True,12,10.0.1.125→52.26.80.173,10.0.1.125,52.26.80.173,True
cddccbbbaa,0.6831,0.7672,0.5,True,12,10.0.2.69→52.146.84.103,10.0.2.69,52.146.84.103,True
bbbbbddbbb,0.5714,0.4643,0.6,True,12,10.0.2.96→52.200.13.94,10.0.2.96,52.200.13.94,True
bdbcbbbbdb,0.5375,0.4701,0.6,True,12,10.0.2.208→52.39.184.95,10.0.2.208,52.39.184.95,True
caabcbcacd,0.7731,0.3069,0.5,True,12,10.0.1.175→52.177.52.176,10.0.1.175,52.177.52.176,True
cbbddbaaab,0.8975,0.5517,0.5,True,12,10.0.2.159→52.32.245.196,10.0.2.159,52.32.245.196,True
bdbbbabcbd,0.6547,0.8413,0.5,True,12,192.168.1.75→52.235.58.175,192.168.1.75,52.235.58.175,True
cddccbcbaa,0.6374,0.6453,0.5,True,12,10.0.2.69→52.129.71.22,10.0.2.69,52.129.71.22,True
babccddcaa,0.7954,0.7849,0.5,True,12,10.0.1.126→52.192.221.104,10.0.1.126,52.192.221.104,True
dbbabddabb,0.7954,0.6544,0.5,True,12,10.0.2.44→52.166.83.171,10.0.2.44,52.166.83.171,True
dbbbcaaadd,0.8571,0.504,0.5,True,12,10.0.3.100→52.250.188.94,10.0.3.100,52.250.188.94,True
aaddcbcbad,0.8028,0.4741,0.5,True,12,10.0.2.209→52.75.67.202,10.0.2.209,52.75.67.202,True
cacccdbbbb,0.5375,0.8974,0.5,True,12,10.0.3.36→52.221.39.114,10.0.3.36,52.221.39.114,True
bbddcaabca,0.8462,0.5396,0.5,True,12,10.0.3.160→52.32.245.196,10.0.3.160,52.32.245.196,True
dbdcdbbaba,0.7454,0.84,0.5,True,12,10.0.1.233→52.57.86.157,10.0.1.233,52.57.86.157,True
bdbbaddcba,0.7454,0.8286,0.5,True,12,10.0.1.233→52.32.245.196,10.0.1.233,52.32.245.196,True
abddbbcbba,0.7731,0.4554,0.5,True,12,10.0.1.200→52.235.62.247,10.0.1.200,52.235.62.247,True
cabdbccbdb,0.5728,0.6032,0.5,True,12,10.0.3.31→52.124.197.123,10.0.3.31,52.124.197.123,True
abddbddbba,0.75,0.5278,0.5,True,12,10.0.1.245→52.88.101.137,10.0.1.245,52.88.101.137,True
bcbabdbdbb,0.6547,0.2857,0.5,False,12,10.0.1.180→52.76.232.41,10.0.1.180,52.76.232.41,False
cdbcbbbbbb,0.4738,0.3636,0.5,True,12,192.168.1.167→52.8.0.126,192.168.1.167,52.8.0.126,True
bdbbcbcbba,0.6008,0.235,0.5,False,12,192.168.1.6→52.1.72.72,192.168.1.6,52.1.72.72,False
bcabcbbbdc,0.5714,0.2578,0.5,True,12,192.168.1.221→52.163.173.65,192.168.1.221,52.163.173.65,True
cbcbbbcbdb,0.4472,0.5556,0.6,True,12,10.0.3.162→52.0.241.24,10.0.3.162,52.0.241.24,True
aaccbbacdc,0.7731,0.703,0.5,True,12,10.0.1.9→52.121.235.85,10.0.1.9,52.121.235.85,True
cdbaacbccc,0.6146,0.5462,0.5,True,12,10.0.1.233→52.0.241.24,10.0.1.233,52.0.241.24,True
bbcbbddbba,0.6547,0.3537,0.6,True,12,10.0.2.230→52.227.96.208,10.0.2.230,52.227.96.208,True
cbabdbacda,0.8462,0.876,0.5,True,12,10.0.2.181→52.188.223.168,10.0.2.181,52.188.223.168,True
daccbbabcb,0.6923,0.3827,0.5,True,12,10.0.3.165→52.97.123.59,10.0.3.165,52.97.123.59,True
